dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,10.000000,0.000027,0.002721,0.136032,6.801601,0.000000
0.020000,0.000000,10.000000,0.000136,0.008162,0.272064,6.801601,0.000000
0.020000,0.000000,10.000000,0.000381,0.016324,0.408096,6.801601,0.000000
0.020000,0.000000,10.000000,0.000816,0.027206,0.544128,6.801601,0.000000
0.020000,0.000000,10.000000,0.001496,0.040810,0.680160,6.801601,0.000000
0.020000,0.000000,10.000000,0.002476,0.057133,0.816192,6.801601,0.000000
0.020000,0.000000,10.000000,0.003809,0.076178,0.952224,6.801601,0.000000
0.020000,0.000550,10.000000,0.005550,0.097943,1.088256,6.801601,0.000000
0.020000,0.002754,10.000000,0.007754,0.122429,1.224288,6.801601,0.000000
0.020000,0.005474,10.000000,0.010474,0.149635,1.360320,6.801601,0.000000
0.020000,0.008766,10.000000,0.013766,0.179562,1.496352,6.801601,0.000000
0.020000,0.012684,10.000000,0.017684,0.212210,1.632384,6.801601,0.000000
0.020000,0.017282,10.000000,0.022282,0.247578,1.768416,6.801601,0.000000
0.020000,0.022614,10.000000,0.027614,0.285667,1.904448,6.801601,0.000000
0.020000,0.028736,10.000000,0.033736,0.326477,2.040480,6.801601,0.000000
0.020000,0.035701,10.000000,0.040701,0.370007,2.176512,6.801601,0.000000
0.020000,0.043563,10.000000,0.048563,0.416258,2.312544,6.801601,0.000000
0.020000,0.052378,10.000000,0.057378,0.465229,2.448576,6.801601,0.000000
0.020000,0.062200,10.000000,0.067200,0.516922,2.584608,6.801601,0.000000
0.020000,0.073082,10.000000,0.078082,0.571334,2.720640,6.801601,0.000000
0.020000,0.085080,10.000000,0.090080,0.628468,2.856672,6.801601,0.000000
0.020000,0.098248,10.000000,0.103248,0.688322,2.992704,6.801601,0.000000
0.020000,0.112640,10.000000,0.117640,0.750897,3.128736,6.801601,0.000000
0.020000,0.128311,10.000000,0.133311,0.816192,3.264768,6.801601,0.000000
0.020000,0.145315,10.000000,0.150315,0.884208,3.400800,6.801601,0.000000
0.020000,0.163707,10.000000,0.168707,0.954945,3.536832,6.801601,0.000000
0.020000,0.183540,10.000000,0.188540,1.028402,3.672864,6.801601,0.000000
0.020000,0.204870,10.000000,0.209870,1.104580,3.808896,6.801601,0.000000
0.020000,0.227751,10.000000,0.232751,1.183479,3.944928,6.801601,0.000000
0.020000,0.252237,10.000000,0.257237,1.265098,4.080960,6.801601,0.000000
0.020000,0.278382,10.000000,0.283382,1.349438,4.216992,6.801601,0.000000
0.020000,0.306241,10.000000,0.311241,1.436498,4.353024,6.801601,0.000000
0.020000,0.335869,10.000000,0.340869,1.526279,4.489056,6.801601,0.000000
0.020000,0.367320,10.000000,0.372320,1.618781,4.625088,6.801601,0.000000
0.020000,0.400647,10.000000,0.405647,1.714003,4.761121,6.801601,0.000000
0.020000,0.435907,10.000000,0.440907,1.811946,4.897153,6.801601,0.000000
0.020000,0.473098,10.000000,0.478098,1.907169,4.761121,-6.801601,0.000000
0.020000,0.512167,10.000000,0.517167,1.999671,4.625088,-6.801601,0.000000
0.020000,0.553058,10.000000,0.558058,2.089452,4.489056,-6.801601,0.000000
0.020000,0.595717,10.000000,0.600717,2.176512,4.353024,-6.801601,0.000000
0.020000,0.640091,10.000000,0.645091,2.260852,4.216992,-6.801601,0.000000
0.020000,0.686124,10.000000,0.691124,2.342471,4.080960,-6.801601,0.000000
0.020000,0.733763,10.000000,0.738763,2.421370,3.944928,-6.801601,0.000000
0.020000,0.782952,10.000000,0.787952,2.497548,3.808896,-6.801601,0.000000
0.020000,0.833637,10.000000,0.838637,2.571005,3.672864,-6.801601,0.000000
0.020000,0.885765,10.000000,0.890765,2.641742,3.536832,-6.801601,0.000000
0.020000,0.939280,10.000000,0.944280,2.709758,3.400800,-6.801601,0.000000
0.020000,0.994128,10.000000,0.999128,2.775053,3.264768,-6.801601,0.000000
0.020000,1.050255,10.000000,1.055255,2.837628,3.128736,-6.801601,0.000000
0.020000,1.107606,10.000000,1.112606,2.897482,2.992704,-6.801601,0.000000
0.020000,1.166127,10.000000,1.171127,2.954615,2.856672,-6.801601,0.000000
0.020000,1.225763,10.000000,1.230763,3.009028,2.720640,-6.801601,0.000000
0.020000,1.286461,10.000000,1.291461,3.060720,2.584608,-6.801601,0.000000
0.020000,1.348165,10.000000,1.353165,3.109692,2.448576,-6.801601,0.000000
0.020000,1.410821,10.000000,1.415821,3.155943,2.312544,-6.801601,0.000000
0.020000,1.474375,10.000000,1.479375,3.199473,2.176512,-6.801601,0.000000
0.020000,1.538773,10.000000,1.543773,3.240283,2.040480,-6.801601,0.000000
0.020000,1.603959,10.000000,1.608959,3.278372,1.904448,-6.801601,0.000000
0.020000,1.669881,10.000000,1.674881,3.313740,1.768416,-6.801601,0.000000
0.020000,1.736482,10.000000,1.741482,3.346388,1.632384,-6.801601,0.000000
0.020000,1.803709,10.000000,1.808709,3.376315,1.496352,-6.801601,0.000000
0.020000,1.871507,10.000000,1.876507,3.403521,1.360320,-6.801601,0.000000
0.020000,1.939823,10.000000,1.944823,3.428007,1.224288,-6.801601,0.000000
0.020000,2.008600,10.000000,2.013600,3.449772,1.088256,-6.801601,0.000000
0.020000,2.077786,10.000000,2.082786,3.468816,0.952224,-6.801601,0.000000
0.020000,2.147326,10.000000,2.152326,3.485140,0.816192,-6.801601,0.000000
0.020000,2.217165,10.000000,2.222165,3.498743,0.680160,-6.801601,0.000000
0.020000,2.287248,10.000000,2.292248,3.509626,0.544128,-6.801601,0.000000
0.020000,2.357522,10.000000,2.362522,3.517788,0.408096,-6.801601,0.000000
0.020000,2.427933,10.000000,2.432933,3.523229,0.272064,-6.801601,0.000000
0.020000,2.498424,10.000000,2.503424,3.525878,0.132466,-6.979912,0.000000
0.020000,2.568913,10.000000,2.573913,3.523087,-0.139598,-13.603201,0.000000
0.020000,2.639320,10.000000,2.644320,3.517574,-0.275630,-6.801601,0.000000
0.020000,2.709589,10.000000,2.714589,3.509341,-0.411662,-6.801601,0.000000
0.020000,2.779666,10.000000,2.784666,3.498387,-0.547694,-6.801601,0.000000
0.020000,2.849497,10.000000,2.854497,3.484712,-0.683726,-6.801601,0.000000
0.020000,2.919028,10.000000,2.924028,3.468317,-0.819758,-6.801601,0.000000
0.020000,2.988203,10.000000,2.993203,3.449201,-0.955790,-6.801601,0.000000
0.020000,3.056968,10.000000,3.061968,3.427365,-1.091822,-6.801601,0.000000
0.020000,3.125270,10.000000,3.130270,3.402808,-1.227854,-6.801601,0.000000
0.020000,3.193054,10.000000,3.198054,3.375530,-1.363886,-6.801601,0.000000
0.020000,3.260264,10.000000,3.265264,3.345532,-1.499918,-6.801601,0.000000
0.020000,3.326848,10.000000,3.331848,3.312813,-1.635950,-6.801601,0.000000
0.020000,3.392749,10.000000,3.397749,3.277373,-1.771982,-6.801601,0.000000
0.020000,3.457915,10.000000,3.462915,3.239213,-1.908014,-6.801601,0.000000
0.020000,3.522291,10.000000,3.527291,3.198332,-2.044046,-6.801601,0.000000
0.020000,3.585821,10.000000,3.590821,3.154730,-2.180078,-6.801601,0.000000
0.020000,3.648453,10.000000,3.653453,3.108408,-2.316110,-6.801601,0.000000
0.020000,3.710131,10.000000,3.715131,3.059365,-2.452142,-6.801601,0.000000
0.020000,3.770800,10.000000,3.775800,3.007602,-2.588175,-6.801601,0.000000
0.020000,3.830407,10.000000,3.835407,2.953118,-2.724207,-6.801601,0.000000
0.020000,3.888898,10.000000,3.893898,2.895913,-2.860239,-6.801601,0.000000
0.020000,3.946217,10.000000,3.951217,2.835987,-2.996271,-6.801601,0.000000
0.020000,4.002310,10.000000,4.007310,2.773341,-3.132303,-6.801601,0.000000
0.020000,4.057123,10.000000,4.062123,2.707975,-3.268335,-6.801601,0.000000
0.020000,4.110602,10.000000,4.115602,2.639887,-3.404367,-6.801601,0.000000
0.020000,4.162691,10.000000,4.167691,2.569079,-3.540399,-6.801601,0.000000
0.020000,4.213338,10.000000,4.218338,2.495551,-3.676431,-6.801601,0.000000
0.020000,4.262486,10.000000,4.267486,2.419301,-3.812463,-6.801601,0.000000
0.020000,4.310083,10.000000,4.315083,2.340332,-3.948495,-6.801601,0.000000
0.020000,4.356072,10.000000,4.361072,2.258641,-4.084527,-6.801601,0.000000
0.020000,4.400401,10.000000,4.405401,2.174230,-4.220559,-6.801601,0.000000
0.020000,4.443014,10.000000,4.448014,2.087098,-4.356591,-6.801601,0.000000
0.020000,4.483858,10.000000,4.488858,1.997246,-4.492623,-6.801601,0.000000
0.020000,4.522877,10.000000,4.527877,1.904672,-4.628655,-6.801601,0.000000
0.020000,4.560017,10.000000,4.565017,1.809379,-4.764687,-6.801601,0.000000
0.020000,4.595226,10.000000,4.600226,1.711507,-4.893586,-6.444977,0.000000
0.020000,4.628505,10.000000,4.633505,1.616356,-4.757554,6.801601,0.000000
0.020000,4.659908,10.000000,4.664908,1.523925,-4.621522,6.801601,0.000000
0.020000,4.689489,10.000000,4.694489,1.434216,-4.485490,6.801601,0.000000
0.020000,4.717304,10.000000,4.722304,1.347227,-4.349458,6.801601,0.000000
0.020000,4.743405,10.000000,4.748405,1.262958,-4.213426,6.801601,0.000000
0.020000,4.767849,10.000000,4.772849,1.181410,-4.077394,6.801601,0.000000
0.020000,4.790689,10.000000,4.795689,1.102583,-3.941362,6.801601,0.000000
0.020000,4.811980,10.000000,4.816980,1.026476,-3.805330,6.801601,0.000000
0.020000,4.831775,10.000000,4.836775,0.953090,-3.669298,6.801601,0.000000
0.020000,4.850130,10.000000,4.855130,0.882425,-3.533266,6.801601,0.000000
0.020000,4.867099,10.000000,4.872099,0.814480,-3.397234,6.801601,0.000000
0.020000,4.882737,10.000000,4.887737,0.749256,-3.261202,6.801601,0.000000
0.020000,4.897097,10.000000,4.902097,0.686753,-3.125170,6.801601,0.000000
0.020000,4.910234,10.000000,4.915234,0.626970,-2.989138,6.801601,0.000000
0.020000,4.922203,10.000000,4.927203,0.569908,-2.853106,6.801601,0.000000
0.020000,4.933058,10.000000,4.938058,0.515566,-2.717074,6.801601,0.000000
0.020000,4.942853,10.000000,4.947853,0.463946,-2.581042,6.801601,0.000000
0.020000,4.951643,10.000000,4.956643,0.415045,-2.445010,6.801601,0.000000
0.020000,4.959482,10.000000,4.964482,0.368866,-2.308978,6.801601,0.000000
