dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,8.815000,0.000027,0.002721,0.136032,6.801601,0.000000
0.020000,0.000000,8.815000,0.000027,0.000000,-0.136032,-13.603201,0.000000
0.020000,0.000000,8.815000,0.000027,0.000000,0.000000,6.801601,0.000000
0.020000,0.000000,8.815000,0.000027,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,8.815000,0.000027,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,8.815000,0.000027,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,8.815000,0.000027,0.000000,0.000000,0.000000,0.000000
0.020000,0.000550,8.815000,0.000577,0.027505,1.375265,68.763274,0.000000
0.020000,0.002754,8.815000,0.002781,0.110186,4.134031,137.938282,0.000000
0.020000,0.005474,8.815000,0.005502,0.136032,1.292304,-142.086349,0.000000
0.020000,0.008766,8.815000,0.008794,0.164599,1.428336,6.801601,0.000000
0.020000,0.012684,8.815000,0.012711,0.195886,1.564368,6.801601,0.000000
0.020000,0.017282,8.815000,0.017309,0.229894,1.700400,6.801601,0.000000
0.020000,0.022614,8.815000,0.022642,0.266623,1.836432,6.801601,0.000000
0.020000,0.028736,8.815000,0.028763,0.306072,1.972464,6.801601,0.000000
0.020000,0.035701,8.815000,0.035728,0.348242,2.108496,6.801601,0.000000
0.020000,0.043563,8.815000,0.043591,0.393133,2.244528,6.801601,0.000000
0.020000,0.052378,8.815000,0.052406,0.440744,2.380560,6.801601,0.000000
0.020000,0.062200,8.815000,0.062227,0.491076,2.516592,6.801601,0.000000
0.020000,0.073082,8.815000,0.073110,0.544128,2.652624,6.801601,0.000000
0.020000,0.085080,8.815000,0.085108,0.599901,2.788656,6.801601,0.000000
0.020000,0.098248,8.815000,0.098276,0.658395,2.924688,6.801601,0.000000
0.020000,0.112640,8.815000,0.112668,0.719609,3.060720,6.801601,0.000000
0.020000,0.128311,8.815000,0.128339,0.783544,3.196752,6.801601,0.000000
0.020000,0.145315,8.815000,0.145343,0.850200,3.332784,6.801601,0.000000
0.020000,0.163707,8.815000,0.163734,0.919576,3.468816,6.801601,0.000000
0.020000,0.183540,8.815000,0.183568,0.991673,3.604848,6.801601,0.000000
0.020000,0.204870,8.815000,0.204897,1.066491,3.740880,6.801601,0.000000
0.020000,0.227751,8.815000,0.227778,1.144029,3.876912,6.801601,0.000000
0.020000,0.252237,8.815000,0.252264,1.224288,4.012944,6.801601,0.000000
0.020000,0.278382,8.815000,0.278409,1.307268,4.148976,6.801601,0.000000
0.020000,0.306241,8.815000,0.306268,1.392968,4.285008,6.801601,0.000000
0.020000,0.335869,8.815000,0.335896,1.481389,4.421040,6.801601,0.000000
0.020000,0.367320,8.815000,0.367347,1.572530,4.557072,6.801601,0.000000
0.020000,0.400647,8.815000,0.400675,1.666392,4.693104,6.801601,0.000000
0.020000,0.435907,8.815000,0.435934,1.762975,4.829137,6.801601,0.000000
0.020000,0.473098,8.815000,0.473125,1.859558,4.829137,0.000000,0.000000
0.020000,0.512167,8.815000,0.512194,1.953420,4.693104,-6.801601,0.000000
0.020000,0.553058,8.815000,0.553085,2.044561,4.557072,-6.801601,0.000000
0.020000,0.595717,8.815000,0.595745,2.132982,4.421040,-6.801601,0.000000
0.020000,0.640091,8.815000,0.640118,2.218682,4.285008,-6.801601,0.000000
0.020000,0.686124,8.815000,0.686151,2.301662,4.148976,-6.801601,0.000000
0.020000,0.733763,8.815000,0.733790,2.381921,4.012944,-6.801601,0.000000
0.020000,0.782952,8.815000,0.782979,2.459459,3.876912,-6.801601,0.000000
0.020000,0.833637,8.815000,0.833665,2.534276,3.740880,-6.801601,0.000000
0.020000,0.885765,8.815000,0.885792,2.606373,3.604848,-6.801601,0.000000
0.020000,0.939280,8.815000,0.939307,2.675750,3.468816,-6.801601,0.000000
0.020000,0.994128,8.815000,0.994155,2.742405,3.332784,-6.801601,0.000000
0.020000,1.050255,8.815000,1.050282,2.806340,3.196752,-6.801601,0.000000
0.020000,1.107606,8.815000,1.107633,2.867555,3.060720,-6.801601,0.000000
