dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001179,1.184999,0.000027,0.002734,0.136694,6.834688,6.282190
0.020000,0.001161,1.184999,0.000046,0.000924,-0.090505,-11.359916,6.282206
0.020000,0.001119,1.184999,0.000087,0.002079,0.057742,7.412317,6.282241
0.020000,0.001045,1.185000,0.000161,0.003696,0.080853,1.155574,6.282303
0.020000,0.000930,1.185000,0.000277,0.005775,0.103987,1.156706,6.282401
0.020000,0.000763,1.185000,0.000443,0.008319,0.127159,1.158561,6.282541
0.020000,0.000537,1.185000,0.000670,0.011326,0.150385,1.161320,6.282732
0.020000,0.000241,1.185000,0.000966,0.014800,0.173688,1.165166,6.282982
0.020000,0.000658,1.185000,0.001383,0.020849,0.302470,6.439107,0.000113
0.020000,0.002929,1.185001,0.003654,0.113554,4.635214,216.637184,0.000504
0.020000,0.005675,1.185003,0.006400,0.137304,1.187533,-172.384058,0.000978
0.020000,0.008943,1.185007,0.009668,0.163424,1.305962,5.921467,0.001542
0.020000,0.012777,1.185014,0.013502,0.191673,1.412443,5.324017,0.002206
0.020000,0.017221,1.185026,0.017946,0.222193,1.526016,5.678650,0.002977
0.020000,0.022320,1.185043,0.023045,0.254974,1.639057,5.652061,0.003865
0.020000,0.028118,1.185068,0.028843,0.289918,1.747192,5.406765,0.004878
0.020000,0.034660,1.185104,0.035385,0.327056,1.856929,5.486858,0.006025
0.020000,0.041988,1.185153,0.042713,0.366434,1.968891,5.598091,0.007316
0.020000,0.050146,1.185218,0.050871,0.407909,2.073726,5.241723,0.008760
0.020000,0.059176,1.185305,0.059902,0.451542,2.181681,5.397779,0.010367
0.020000,0.069121,1.185417,0.069848,0.497278,2.286789,5.255373,0.012148
0.020000,0.080024,1.185560,0.080751,0.545169,2.394540,5.387585,0.014113
0.020000,0.091924,1.185741,0.092653,0.595068,2.494971,5.021549,0.016274
0.020000,0.104863,1.185967,0.105594,0.647056,2.599369,5.219861,0.018643
0.020000,0.118879,1.186246,0.119613,0.700969,2.695673,4.815210,0.021231
0.020000,0.134013,1.186589,0.134751,0.756893,2.796170,5.024875,0.024053
0.020000,0.150302,1.187006,0.151045,0.814697,2.890208,4.701867,0.027121
0.020000,0.167782,1.187509,0.168532,0.874379,2.984108,4.695010,0.030451
0.020000,0.186489,1.188112,0.187249,0.935840,3.073063,4.447743,0.034058
0.020000,0.206459,1.188832,0.207232,0.999131,3.164537,4.573707,0.037959
0.020000,0.227723,1.189684,0.228512,1.064023,3.244621,4.004197,0.042172
0.020000,0.250311,1.190688,0.251123,1.130544,3.326012,4.069549,0.046715
0.020000,0.274254,1.191866,0.275095,1.198581,3.401851,3.791943,0.051610
0.020000,0.299578,1.193241,0.300456,1.268081,3.475026,3.658792,0.056877
0.020000,0.326308,1.194839,0.327234,1.338891,3.540473,3.272333,0.062541
0.020000,0.354467,1.196688,0.355453,1.410956,3.603287,3.140715,0.068628
0.020000,0.384049,1.198818,0.385113,1.482970,3.600685,-0.130114,0.075159
0.020000,0.415031,1.201260,0.416191,1.553885,3.545729,-2.747789,0.082155
0.020000,0.447382,1.204045,0.448661,1.623510,3.481264,-3.223289,0.089637
0.020000,0.481046,1.207205,0.482473,1.690634,3.356198,-6.253293,0.097624
0.020000,0.515949,1.210773,0.517557,1.754205,3.178562,-8.881771,0.106130
0.020000,0.552008,1.214778,0.553839,1.814087,2.994090,-9.223607,0.115170
0.020000,0.589144,1.219254,0.591244,1.870235,2.807400,-9.334489,0.124763
0.020000,0.627272,1.224232,0.629695,1.922573,2.616919,-9.524091,0.134926
0.020000,0.666306,1.229743,0.669116,1.971024,2.422542,-9.718807,0.145678
0.020000,0.706157,1.235821,0.709428,2.015608,2.229194,-9.667430,0.157040
0.020000,0.746735,1.242494,0.750551,2.056145,2.026832,-10.118081,0.169032
0.020000,0.787947,1.249794,0.792404,2.092670,1.826267,-10.028239,0.181676
0.020000,0.829698,1.257750,0.834906,2.125107,1.621830,-10.221891,0.194995
0.020000,0.871891,1.266389,0.877975,2.153443,1.416798,-10.251604,0.209013
0.020000,0.914429,1.275738,0.921529,2.177669,1.211341,-10.272806,0.223753
0.020000,0.957211,1.285820,0.965483,2.197694,1.001252,-10.504475,0.239239
0.020000,1.000137,1.296658,1.009756,2.213647,0.797624,-10.181382,0.255493
0.020000,1.043106,1.308270,1.054266,2.225504,0.592835,-10.239461,0.272540
0.020000,1.086015,1.320674,1.098931,2.233294,0.389516,-10.165932,0.290401
0.020000,1.128764,1.333883,1.143675,2.237185,0.194539,-9.748875,0.309096
0.020000,1.171255,1.347908,1.188421,2.237272,0.004342,-9.509862,0.328643
0.020000,1.213390,1.362754,1.233094,2.233685,-0.179313,-9.182716,0.349058
