dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000027,0.002734,0.136694,6.834688,6.282190
0.020000,0.000000,0.000000,0.000137,0.008202,0.273388,6.834688,6.282206
0.020000,0.000000,0.000000,0.000383,0.016403,0.410081,6.834688,6.282241
0.020000,0.000000,0.000000,0.000820,0.027339,0.546775,6.834688,6.282303
0.020000,0.000000,0.000000,0.001504,0.041008,0.683469,6.834688,6.282401
0.020000,0.000000,0.000000,0.002488,0.057411,0.820163,6.834688,6.282541
0.020000,0.000000,0.000000,0.003827,0.076549,0.956856,6.834688,6.282732
0.020000,0.000000,0.000000,0.005577,0.098420,1.093550,6.834688,6.282982
0.020000,0.000792,0.000000,0.007792,0.123024,1.230244,6.834688,0.000113
0.020000,0.003526,0.000001,0.010525,0.150363,1.366938,6.834688,0.000504
0.020000,0.006833,0.000003,0.013833,0.180436,1.503631,6.834688,0.000978
0.020000,0.010771,0.000008,0.017770,0.213242,1.640325,6.834688,0.001542
0.020000,0.015391,0.000017,0.022390,0.248783,1.777019,6.834688,0.002206
0.020000,0.020749,0.000031,0.027749,0.287057,1.913713,6.834688,0.002977
0.020000,0.026900,0.000052,0.033900,0.328065,2.050407,6.834688,0.003865
0.020000,0.033899,0.000082,0.040899,0.371807,2.187100,6.834688,0.004878
0.020000,0.041799,0.000126,0.048800,0.418283,2.323794,6.834688,0.006025
0.020000,0.050658,0.000185,0.057657,0.467493,2.460488,6.834688,0.007316
0.020000,0.060527,0.000264,0.067527,0.519436,2.597182,6.834688,0.008760
0.020000,0.071462,0.000369,0.078462,0.574114,2.733875,6.834688,0.010367
0.020000,0.083517,0.000504,0.090519,0.631525,2.870569,6.834688,0.012148
0.020000,0.096748,0.000678,0.103751,0.691670,3.007263,6.834688,0.014113
0.020000,0.111208,0.000898,0.118213,0.754550,3.143957,6.834688,0.016274
0.020000,0.126953,0.001173,0.133960,0.820163,3.280650,6.834688,0.018643
0.020000,0.144037,0.001513,0.151047,0.888509,3.417344,6.834688,0.021231
0.020000,0.162513,0.001932,0.169528,0.959590,3.554038,6.834688,0.024053
0.020000,0.182436,0.002441,0.189458,1.033405,3.690732,6.834688,0.027121
0.020000,0.203861,0.003058,0.210891,1.109953,3.827426,6.834688,0.030451
0.020000,0.226840,0.003800,0.233883,1.189236,3.964119,6.834688,0.034058
0.020000,0.251430,0.004685,0.258488,1.271252,4.100813,6.834688,0.037959
0.020000,0.277681,0.005738,0.284760,1.356002,4.237507,6.834688,0.042172
0.020000,0.305649,0.006981,0.312755,1.443486,4.374201,6.834688,0.046715
0.020000,0.335384,0.008444,0.342527,1.533704,4.510894,6.834688,0.051610
0.020000,0.366941,0.010157,0.374131,1.626656,4.647588,6.834688,0.056877
0.020000,0.400371,0.012156,0.407621,1.722341,4.784282,6.834688,0.062541
0.020000,0.435727,0.014477,0.443052,1.820761,4.920976,6.834688,0.068628
0.020000,0.473029,0.017163,0.480451,1.919181,4.920976,-0.000000,0.075159
0.020000,0.512275,0.020256,0.519819,2.017600,4.920976,0.000000,0.082155
0.020000,0.553459,0.023802,0.561155,2.116020,4.920976,-0.000000,0.089637
0.020000,0.596547,0.027848,0.604433,2.211705,4.784282,-6.834688,0.097624
0.020000,0.641476,0.032440,0.649596,2.304657,4.647588,-6.834688,0.106130
0.020000,0.688184,0.037629,0.696591,2.394875,4.510894,-6.834688,0.115170
0.020000,0.736606,0.043465,0.745364,2.482359,4.374201,-6.834688,0.124763
0.020000,0.786675,0.050002,0.795858,2.567109,4.237507,-6.834688,0.134926
0.020000,0.838324,0.057295,0.848021,2.649125,4.100813,-6.834688,0.145678
0.020000,0.891485,0.065402,0.901796,2.728408,3.964119,-6.834688,0.157040
0.020000,0.946085,0.074382,0.957130,2.804956,3.827426,-6.834688,0.169032
0.020000,1.002050,0.084296,1.013967,2.878771,3.690732,-6.834688,0.181676
0.020000,1.059306,0.095207,1.072253,2.949852,3.554038,-6.834688,0.194995
0.020000,1.117772,0.107179,1.131934,3.018198,3.417344,-6.834688,0.209013
0.020000,1.177370,0.120278,1.192954,3.083811,3.280650,-6.834688,0.223753
0.020000,1.238012,0.134570,1.255259,3.146691,3.143957,-6.834688,0.239239
0.020000,1.299614,0.150124,1.318794,3.206836,3.007263,-6.834688,0.255493
0.020000,1.362082,0.167009,1.383505,3.264247,2.870569,-6.834688,0.272540
0.020000,1.425323,0.185291,1.449337,3.318925,2.733875,-6.834688,0.290401
0.020000,1.489238,0.205042,1.516235,3.370868,2.597182,-6.834688,0.309096
0.020000,1.553725,0.226328,1.584144,3.420078,2.460488,-6.834688,0.328643
0.020000,1.618675,0.249215,1.653010,3.466554,2.323794,-6.834688,0.349058
0.020000,1.683978,0.273770,1.722779,3.510296,2.187100,-6.834688,0.370352
0.020000,1.749519,0.300053,1.793395,3.551304,2.050407,-6.834688,0.392533
0.020000,1.815177,0.328124,1.864804,3.589578,1.913713,-6.834688,0.415602
0.020000,1.880829,0.358037,1.936951,3.625119,1.777019,-6.834688,0.439556
0.020000,1.946346,0.389841,2.009781,3.657925,1.640325,-6.834688,0.464382
0.020000,2.011598,0.423577,2.083240,3.687998,1.503631,-6.834688,0.490060
0.020000,2.076451,0.459281,2.157274,3.715337,1.366938,-6.834688,0.516562
0.020000,2.140767,0.496979,2.231826,3.739942,1.230244,-6.834688,0.543850
0.020000,2.204411,0.536687,2.306844,3.761813,1.093550,-6.834688,0.571874
0.020000,2.267245,0.578411,2.382272,3.780950,0.956856,-6.834688,0.600576
0.020000,2.329131,0.622145,2.458055,3.797353,0.820163,-6.834688,0.629886
0.020000,2.389938,0.667871,2.534138,3.811022,0.683469,-6.834688,0.659724
0.020000,2.449535,0.715558,2.610468,3.821958,0.546775,-6.834688,0.690001
0.020000,2.507797,0.765161,2.686989,3.830159,0.410081,-6.834688,0.720620
0.020000,2.564609,0.816624,2.763647,3.835627,0.273388,-6.834688,0.751478
0.020000,2.619861,0.869876,2.840387,3.838361,0.136694,-6.834688,0.782466
0.020000,2.673437,0.924816,2.917130,3.835895,-0.123312,-13.000289,0.813463
0.020000,2.725236,0.981332,2.993796,3.830695,-0.260006,-6.834688,0.844349
0.020000,2.775186,1.039316,3.070330,3.822761,-0.396700,-6.834688,0.875015
0.020000,2.823226,1.098652,3.146679,3.812093,-0.533393,-6.834688,0.905356
0.020000,2.869311,1.159217,3.222787,3.798691,-0.670087,-6.834688,0.935274
0.020000,2.913408,1.220882,3.298599,3.782555,-0.806781,-6.834688,0.964678
0.020000,2.955495,1.283515,3.374061,3.763686,-0.943475,-6.834688,0.993487
0.020000,2.995566,1.346978,3.449119,3.742083,-1.080168,-6.834688,1.021630
0.020000,3.033625,1.411135,3.523717,3.717745,-1.216862,-6.834688,1.049046
0.020000,3.069685,1.475848,3.597802,3.690674,-1.353556,-6.834688,1.075684
0.020000,3.103772,1.540981,3.671317,3.660869,-1.490250,-6.834688,1.101503
0.020000,3.135919,1.606399,3.744209,3.628330,-1.626943,-6.834688,1.126474
0.020000,3.166168,1.671970,3.816423,3.593058,-1.763637,-6.834688,1.150575
0.020000,3.194566,1.737566,3.887904,3.555051,-1.900331,-6.834688,1.173794
0.020000,3.221166,1.803063,3.958598,3.514311,-2.037025,-6.834688,1.196124
0.020000,3.246028,1.868339,4.028449,3.470836,-2.173719,-6.834688,1.217566
0.020000,3.269211,1.933278,4.097404,3.424628,-2.310412,-6.834688,1.238127
0.020000,3.290781,1.997768,4.165407,3.375686,-2.447106,-6.834688,1.257818
0.020000,3.310805,2.061702,4.232404,3.324010,-2.583800,-6.834688,1.276654
0.020000,3.329349,2.124976,4.298340,3.269600,-2.720494,-6.834688,1.294651
0.020000,3.346483,2.187490,4.363160,3.212456,-2.857187,-6.834688,1.311831
0.020000,3.362276,2.249149,4.426811,3.152579,-2.993881,-6.834688,1.328214
0.020000,3.376795,2.309862,4.489236,3.089967,-3.130575,-6.834688,1.343824
0.020000,3.390109,2.369540,4.550382,3.024622,-3.267269,-6.834688,1.358684
0.020000,3.402286,2.428099,4.610194,2.956542,-3.403962,-6.834688,1.372817
0.020000,3.413390,2.485456,4.668616,2.885729,-3.540656,-6.834688,1.386248
0.020000,3.423487,2.541533,4.725596,2.812182,-3.677350,-6.834688,1.398998
0.020000,3.432639,2.596253,4.781076,2.735901,-3.814044,-6.834688,1.411093
0.020000,3.440909,2.649543,4.835004,2.656887,-3.950738,-6.834688,1.422552
0.020000,3.448355,2.701330,4.887325,2.575138,-4.087431,-6.834688,1.433398
0.020000,3.455035,2.751546,4.937983,2.490656,-4.224125,-6.834688,1.443651
0.020000,3.461005,2.800121,4.986923,2.403439,-4.360819,-6.834688,1.453330
0.020000,3.466318,2.846990,5.034093,2.313489,-4.497513,-6.834688,1.462453
0.020000,3.471027,2.892088,5.079436,2.220805,-4.634206,-6.834688,1.471038
0.020000,3.475180,2.935351,5.122898,2.125387,-4.770900,-6.834688,1.479101
