dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001179,-1.184999,0.000027,0.002734,0.136694,6.834688,6.282190
0.020000,-0.001161,-1.184999,0.000046,0.000924,-0.090505,-11.359916,6.282206
0.020000,-0.001119,-1.184999,0.000087,0.002079,0.057742,7.412317,6.282241
0.020000,-0.001045,-1.185000,0.000161,0.003696,0.080853,1.155574,6.282303
0.020000,-0.000930,-1.185000,0.000277,0.005775,0.103987,1.156706,6.282401
0.020000,-0.000763,-1.185000,0.000443,0.008319,0.127159,1.158561,6.282541
0.020000,-0.000537,-1.185000,0.000670,0.011326,0.150385,1.161320,6.282732
0.020000,-0.000241,-1.185000,0.000966,0.014800,0.173688,1.165166,6.282982
0.020000,0.000926,-1.185000,0.002133,0.058340,2.177001,100.165632,0.000113
0.020000,0.004124,-1.184999,0.005330,0.159886,5.077300,145.014944,0.000504
0.020000,0.007992,-1.184996,0.009199,0.193415,1.676444,-170.042788,0.000978
0.020000,0.012599,-1.184990,0.013805,0.230333,1.845911,8.473330,0.001542
0.020000,0.018005,-1.184980,0.019212,0.270322,1.999423,7.675629,0.002206
0.020000,0.024277,-1.184964,0.025484,0.313601,2.163978,8.227720,0.002977
0.020000,0.031481,-1.184939,0.032687,0.360182,2.329022,8.252224,0.003865
0.020000,0.039680,-1.184903,0.040886,0.409953,2.488573,7.977542,0.004878
0.020000,0.048939,-1.184853,0.050146,0.462994,2.652036,8.173166,0.006025
0.020000,0.059327,-1.184784,0.060534,0.519405,2.820554,8.425894,0.007316
0.020000,0.070907,-1.184691,0.072115,0.579028,2.981138,8.029170,0.008760
0.020000,0.083747,-1.184568,0.084955,0.641999,3.148591,8.372648,0.010367
0.020000,0.097912,-1.184408,0.099121,0.708295,3.314765,8.308722,0.012148
0.020000,0.113472,-1.184204,0.114682,0.778051,3.487829,8.653200,0.014113
0.020000,0.130492,-1.183945,0.131704,0.851130,3.653952,8.306136,0.016274
0.020000,0.149044,-1.183621,0.150259,0.927723,3.829652,8.785028,0.018643
0.020000,0.169194,-1.183220,0.170413,1.007686,3.998124,8.423579,0.021231
0.020000,0.191013,-1.182726,0.192237,1.091235,4.177475,8.967578,0.024053
0.020000,0.214571,-1.182123,0.215803,1.178294,4.352952,8.773806,0.027121
0.020000,0.239940,-1.181392,0.241183,1.268979,4.534245,9.064652,0.030451
0.020000,0.267191,-1.180513,0.268448,1.363280,4.715055,9.040505,0.034058
0.020000,0.296401,-1.179461,0.297677,1.461420,4.906985,9.596531,0.037959
0.020000,0.327640,-1.178209,0.328941,1.563231,5.090536,9.177510,0.042172
0.020000,0.360986,-1.176726,0.362320,1.668933,5.285111,9.728773,0.046715
0.020000,0.396514,-1.174978,0.397891,1.778566,5.481663,9.827606,0.051610
0.020000,0.434304,-1.172926,0.435737,1.892277,5.685545,10.194116,0.056877
0.020000,0.474434,-1.170528,0.475939,2.010086,5.890417,10.243558,0.062541
0.020000,0.516986,-1.167733,0.518582,2.132190,6.105211,10.739707,0.068628
0.020000,0.562008,-1.164491,0.563721,2.256903,6.235655,6.522214,0.075159
0.020000,0.609519,-1.160747,0.611379,2.382901,6.299919,3.213192,0.082155
0.020000,0.659537,-1.156440,0.661582,2.510156,6.362739,3.141007,0.089637
0.020000,0.712047,-1.151510,0.714323,2.637050,6.344698,-0.902051,0.097624
0.020000,0.767004,-1.145892,0.769566,2.762155,6.255227,-4.473537,0.106130
0.020000,0.824359,-1.139521,0.827274,2.885433,6.163899,-4.566430,0.115170
0.020000,0.884067,-1.132324,0.887414,3.006988,6.077781,-4.305886,0.124763
0.020000,0.946078,-1.124228,0.949952,3.126872,5.994197,-4.179183,0.134926
0.020000,1.010343,-1.115153,1.014854,3.245125,5.912630,-4.078372,0.145678
0.020000,1.076813,-1.105016,1.082093,3.361941,5.840830,-3.589972,0.157040
0.020000,1.145435,-1.093729,1.151636,3.477173,5.761574,-3.962833,0.169032
0.020000,1.216154,-1.081201,1.223457,3.591013,5.692005,-3.478446,0.181676
0.020000,1.288913,-1.067335,1.297526,3.703446,5.621653,-3.517608,0.194995
0.020000,1.363653,-1.052031,1.373816,3.814542,5.554783,-3.343508,0.209013
0.020000,1.440310,-1.035182,1.452303,3.924344,5.490137,-3.232286,0.223753
0.020000,1.518814,-1.016679,1.532957,4.032702,5.417877,-3.613005,0.239239
0.020000,1.599090,-0.996409,1.615754,4.139812,5.355525,-3.117577,0.255493
0.020000,1.681059,-0.974253,1.700664,4.245536,5.286190,-3.466773,0.272540
0.020000,1.764632,-0.950092,1.787659,4.349748,5.210599,-3.779553,0.290401
0.020000,1.849712,-0.923800,1.876709,4.452499,5.137566,-3.651631,0.309096
0.020000,1.936194,-0.895253,1.967781,4.553602,5.055121,-4.122268,0.328643
